TimeUS,RollRate,Roll,DesRoll
0,-4.52954,0,-40.023
0.025,-8.76996,-0.113238,-40.023
0.05,-12.7269,-0.332487,-40.023
0.075,-16.4065,-0.65066,-40.023
0.1,-19.8151,-1.06082,-40.023
0.125,-22.9598,-1.5562,-40.023
0.15,-25.8477,-2.1302,-40.023
0.175,-28.4863,-2.77639,-40.023
0.2,-30.8834,-3.48855,-40.023
0.225,-33.0468,-4.26063,-40.023
0.25,-34.9848,-5.0868,-40.023
0.275,-36.7056,-5.96142,-40.023
0.3,-38.2175,-6.87906,-40.023
0.325,-39.5291,-7.8345,-40.023
0.35,-40.6489,-8.82273,-40.023
0.375,-41.5853,-9.83895,-40.023
0.4,-42.347,-10.8786,-40.023
0.425,-42.9423,-11.9373,-40.023
0.45,-43.3799,-13.0108,-40.023
0.475,-43.668,-14.0953,-40.023
0.5,-43.815,-15.187,-40.023
0.525,-43.8291,-16.2824,-40.023
0.55,-43.7183,-17.3781,-40.023
0.575,-43.4906,-18.4711,-40.023
0.6,-43.1537,-19.5583,-40.023
0.625,-42.7153,-20.6372,-40.023
0.65,-42.1827,-21.7051,-40.023
0.675,-41.5633,-22.7596,-40.023
0.7,-40.8641,-23.7987,-40.023
0.725,-40.0919,-24.8203,-40.023
0.75,-39.2534,-25.8226,-40.023
0.775,-38.3549,-26.8039,-40.023
0.8,-37.4028,-27.7628,-40.023
0.825,-36.4029,-28.6979,-40.023
0.85,-35.361,-29.608,-40.023
0.875,-34.2826,-30.492,-40.023
0.9,-33.1731,-31.3491,-40.023
0.925,-32.0373,-32.1784,-40.023
0.95,-30.8802,-32.9793,-40.023
0.975,-29.7062,-33.7513,-40.023
1,-28.5199,-34.494,-40.023
1.025,-27.3252,-35.207,-40.023
1.05,-26.1261,-35.8901,-40.023
1.075,-24.9262,-36.5433,-40.023
1.1,-23.729,-37.1664,-40.023
1.125,-22.5377,-37.7596,-40.023
1.15,-21.3552,-38.3231,-40.023
1.175,-20.1845,-38.857,-40.023
1.2,-19.0281,-39.3616,-40.023
1.225,-17.8884,-39.8373,-40.023
1.25,-16.7676,-40.2845,-40.023
1.275,-15.6678,-40.7037,-40.023
1.3,-14.5907,-41.0954,-40.023
1.325,-13.538,-41.4601,-40.023
1.35,-12.5112,-41.7986,-40.023
1.375,-11.5117,-42.1114,-40.023
1.4,-10.5405,-42.3992,-40.023
1.425,-9.59882,-42.6627,-40.023
1.45,-8.68739,-42.9026,-40.023
1.475,-7.80698,-43.1198,-40.023
1.5,-6.95819,-43.315,-40.023
1.525,-6.14148,-43.489,-40.023
1.55,-5.35722,-43.6425,-40.023
1.575,-4.60564,-43.7764,-40.023
1.6,-3.88688,-43.8916,-40.023
1.625,-3.20096,-43.9887,-40.023
1.65,-2.54783,-44.0688,-40.023
1.675,-1.92733,-44.1325,-40.023
1.7,-1.33923,-44.1806,-40.023
1.725,-0.783217,-44.2141,-40.023
1.75,-0.258903,-44.2337,-40.023
1.775,0.234161,-44.2402,-40.023
1.8,0.696484,-44.2343,-40.023
1.825,1.12864,-44.2169,-40.023
1.85,1.53123,-44.1887,-40.023
1.875,1.90494,-44.1504,-40.023
1.9,2.25046,-44.1028,-40.023
1.925,2.56853,-44.0465,-40.023
1.95,2.85994,-43.9823,-40.023
1.975,3.12548,-43.9108,-40.023
2,3.36597,-43.8327,-40.023
2.025,3.58228,-43.7485,-40.023
2.05,3.77525,-43.659,-40.023
2.075,3.94577,-43.5646,-40.023
2.1,4.09472,-43.4659,-40.023
2.125,4.22301,-43.3636,-40.023
2.15,4.33152,-43.258,-40.023
2.175,4.42115,-43.1497,-40.023
2.2,4.49281,-43.0392,-40.023
2.225,4.54738,-42.9269,-40.023
2.25,4.58576,-42.8132,-40.023
2.275,4.60883,-42.6985,-40.023
2.3,4.61745,-42.5833,-40.023
2.325,4.61247,-42.4679,-40.023
2.35,4.59475,-42.3526,-40.023
2.375,4.56511,-42.2377,-40.023
2.4,4.52437,-42.1236,-40.023
2.425,4.47331,-42.0105,-40.023
2.45,4.4127,-41.8986,-40.023
2.475,4.34331,-41.7883,-40.023
2.5,4.26586,-41.6797,-40.023
2.525,4.18107,-41.5731,-40.023
2.55,4.08962,-41.4686,-40.023
2.575,3.99218,-41.3663,-40.023
2.6,3.88938,-41.2665,-40.023
2.625,3.78185,-41.1693,-40.023
2.65,3.67019,-41.0747,-40.023
2.675,3.55494,-40.983,-40.023
2.7,3.43668,-40.8941,-40.023
2.725,3.3159,-40.8082,-40.023
2.75,3.1931,-40.7253,-40.023
2.775,3.06877,-40.6455,-40.023
2.8,2.94333,-40.5687,-40.023
2.825,2.81722,-40.4952,-40.023
2.85,2.69083,-40.4247,-40.023
2.875,2.56454,-40.3575,-40.023
2.9,2.4387,-40.2933,-40.023
2.925,2.31363,-40.2324,-40.023
2.95,2.18965,-40.1745,-40.023
2.975,2.06703,-40.1198,-40.023
3,1.94604,-40.0681,-40.023
3.025,1.82693,-40.0195,-40.023
3.05,1.70992,-39.9738,-40.023
3.075,1.5952,-39.931,-40.023
3.1,1.48297,-39.8912,-40.023
3.125,1.37339,-39.8541,-40.023
3.15,1.26661,-39.8198,-40.023
3.175,1.16276,-39.7881,-40.023
3.2,1.06196,-39.759,-40.023
3.225,0.964295,-39.7325,-40.023
3.25,0.869862,-39.7084,-40.023
3.275,0.778729,-39.6866,-40.023
3.3,0.690952,-39.6671,-40.023
3.325,0.606574,-39.6499,-40.023
3.35,0.525628,-39.6347,-40.023
3.375,0.448131,-39.6216,-40.023
3.4,0.374095,-39.6104,-40.023
3.425,0.303516,-39.601,-40.023
3.45,0.236383,-39.5934,-40.023
3.475,0.172677,-39.5875,-40.023
3.5,0.112369,-39.5832,-40.023
3.525,0.0554212,-39.5804,-40.023
3.55,0.0017906,-39.579,-40.023
3.575,-0.0485735,-39.579,-40.023
3.6,-0.095728,-39.5802,-40.023
3.625,-0.139735,-39.5826,-40.023
3.65,-0.180663,-39.5861,-40.023
3.675,-0.218582,-39.5906,-40.023
3.7,-0.25357,-39.596,-40.023
3.725,-0.285707,-39.6024,-40.023
3.75,-0.315074,-39.6095,-40.023
3.775,-0.341759,-39.6174,-40.023
3.8,-0.365849,-39.6259,-40.023
3.825,-0.387435,-39.6351,-40.023
3.85,-0.406607,-39.6448,-40.023
3.875,-0.42346,-39.6549,-40.023
3.9,-0.438086,-39.6655,-40.023
3.925,-0.450581,-39.6765,-40.023
3.95,-0.461038,-39.6877,-40.023
3.975,-0.469554,-39.6993,-40.023
4,-0.476221,-39.711,-40.023
4.025,-0.481134,-39.7229,-40.023
4.05,-0.484387,-39.7349,-40.023
4.075,-0.48607,-39.747,-40.023
4.1,-0.486276,-39.7592,-40.023
4.125,-0.485093,-39.7714,-40.023
4.15,-0.482609,-39.7835,-40.023
4.175,-0.478912,-39.7956,-40.023
4.2,-0.474085,-39.8075,-40.023
4.225,-0.468212,-39.8194,-40.023
4.25,-0.461364,-39.8311,-40.0229
4.275,-0.453444,-39.8426,-40.0213
4.3,-0.444296,-39.854,-40.0175
4.325,-0.43377,-39.8651,-40.0115
4.35,-0.42173,-39.8759,-40.0033
4.375,-0.408046,-39.8864,-39.9928
4.4,-0.392598,-39.8966,-39.9801
4.425,-0.375277,-39.9065,-39.965
4.45,-0.355981,-39.9158,-39.9476
4.475,-0.334615,-39.9247,-39.9278
4.5,-0.311095,-39.9331,-39.9056
4.525,-0.285342,-39.9409,-39.881
4.55,-0.257287,-39.948,-39.8539
4.575,-0.226864,-39.9545,-39.8243
4.6,-0.194018,-39.9601,-39.7922
4.625,-0.158698,-39.965,-39.7575
4.65,-0.120859,-39.9689,-39.7201
4.675,-0.0804645,-39.972,-39.6802
4.7,-0.0374798,-39.974,-39.6375
4.725,0.00812212,-39.9749,-39.5922
4.75,0.0563644,-39.9747,-39.5441
4.775,0.107265,-39.9733,-39.4932
4.8,0.160838,-39.9706,-39.4394
4.825,0.217092,-39.9666,-39.3828
4.85,0.276035,-39.9612,-39.3233
4.875,0.337668,-39.9543,-39.2609
4.9,0.40199,-39.9458,-39.1955
4.925,0.468997,-39.9358,-39.127
4.95,0.538682,-39.9241,-39.0555
4.975,0.611035,-39.9106,-38.9809
5,0.686044,-39.8953,-38.9032
5.025,0.763694,-39.8782,-38.8223
5.05,0.843968,-39.8591,-38.7381
5.075,0.926849,-39.838,-38.6507
5.1,1.01231,-39.8148,-38.56
5.125,1.10034,-39.7895,-38.466
5.15,1.19091,-39.762,-38.3686
5.175,1.284,-39.7322,-38.2678
5.2,1.37957,-39.7001,-38.1636
5.225,1.4776,-39.6656,-38.0558
5.25,1.57806,-39.6287,-37.9446
5.275,1.68092,-39.5892,-37.8297
5.3,1.78616,-39.5472,-37.7113
5.325,1.89373,-39.5025,-37.5893
5.35,2.00361,-39.4552,-37.4636
5.375,2.11577,-39.4051,-37.3342
5.4,2.23016,-39.3522,-37.2011
5.425,2.34675,-39.2965,-37.0642
5.45,2.46551,-39.2378,-36.9235
5.475,2.58641,-39.1762,-36.779
5.5,2.70939,-39.1115,-36.6307
5.525,2.83443,-39.0438,-36.4785
5.55,2.96149,-38.9729,-36.3225
5.575,3.09052,-38.8989,-36.1625
5.6,3.22149,-38.8216,-35.9986
5.625,3.35434,-38.7411,-35.8308
5.65,3.48905,-38.6572,-35.659
5.675,3.62556,-38.57,-35.4832
5.7,3.76382,-38.4793,-35.3034
5.725,3.9038,-38.3852,-35.1197
5.75,4.04545,-38.2877,-34.9319
5.775,4.18871,-38.1865,-34.7402
5.8,4.33353,-38.0818,-34.5444
5.825,4.47986,-37.9735,-34.3447
5.85,4.62765,-37.8615,-34.1409
5.875,4.77685,-37.7458,-33.9332
5.9,4.92738,-37.6264,-33.7215
5.925,5.0792,-37.5032,-33.5058
5.95,5.23224,-37.3762,-33.2862
5.975,5.38645,-37.2454,-33.0627
6,5.54174,-37.1107,-32.8352
6.025,5.69806,-36.9722,-32.6039
6.05,5.85534,-36.8297,-32.3688
6.075,6.0135,-36.6833,-32.1298
6.1,6.17246,-36.533,-31.8871
6.125,6.33216,-36.3787,-31.6407
6.15,6.49251,-36.2204,-31.3905
6.175,6.65342,-36.0581,-31.1368
6.2,6.81482,-35.8917,-30.8795
6.225,6.97661,-35.7214,-30.6186
6.25,7.1387,-35.547,-30.3543
6.275,7.301,-35.3685,-30.0866
6.3,7.46341,-35.186,-29.8156
6.325,7.62584,-34.9994,-29.5414
6.35,7.78818,-34.8087,-29.264
6.375,7.95033,-34.614,-28.9835
6.4,8.11217,-34.4153,-28.7
6.425,8.27361,-34.2125,-28.4136
6.45,8.43452,-34.0056,-28.1243
6.475,8.59479,-33.7948,-27.8324
6.5,8.7543,-33.5799,-27.5378
6.525,8.91294,-33.361,-27.2408
6.55,9.07057,-33.1382,-26.9413
6.575,9.22708,-32.9114,-26.6395
6.6,9.38234,-32.6808,-26.3355
6.625,9.53621,-32.4462,-26.0295
6.65,9.68858,-32.2078,-25.7215
6.675,9.8393,-31.9656,-25.4117
6.7,9.98824,-31.7196,-25.1002
6.725,10.1353,-31.4699,-24.7871
6.75,10.2802,-31.2165,-24.4726
6.775,10.423,-30.9595,-24.1568
6.8,10.5635,-30.6989,-23.8398
6.825,10.7015,-30.4349,-23.5217
6.85,10.8369,-30.1673,-23.2028
6.875,10.9696,-29.8964,-22.8831
6.9,11.0994,-29.6222,-22.5628
6.925,11.2261,-29.3447,-22.242
6.95,11.3497,-29.064,-21.9208
6.975,11.4701,-28.7803,-21.5995
7,11.587,-28.4935,-21.2781
7.025,11.7004,-28.2038,-20.9567
7.05,11.81,-27.9113,-20.6357
7.075,11.9159,-27.6161,-20.3149
7.1,12.0179,-27.3182,-19.9947
7.125,12.1158,-27.0177,-19.6751
7.15,12.2095,-26.7148,-19.3564
7.175,12.2989,-26.4096,-19.0385
7.2,12.3839,-26.1021,-18.7217
7.225,12.4645,-25.7925,-18.4061
7.25,12.5404,-25.4809,-18.0918
7.275,12.6116,-25.1674,-17.7789
7.3,12.678,-24.8521,-17.4676
7.325,12.7395,-24.5352,-17.1581
7.35,12.7961,-24.2167,-16.8503
7.375,12.8476,-23.8968,-16.5445
7.4,12.894,-23.5756,-16.2408
7.425,12.9352,-23.2532,-15.9392
7.45,12.9712,-22.9299,-15.6399
7.475,13.0019,-22.6056,-15.343
7.5,13.0272,-22.2805,-15.0485
7.525,13.0472,-21.9549,-14.7567
7.55,13.0618,-21.6287,-14.4675
7.575,13.0709,-21.3021,-14.1811
7.6,13.0746,-20.9754,-13.8976
7.625,13.0728,-20.6485,-13.617
7.65,13.0656,-20.3217,-13.3394
7.675,13.0529,-19.995,-13.0649
7.7,13.0347,-19.6687,-12.7936
7.725,13.0111,-19.3428,-12.5255
7.75,12.9821,-19.0176,-12.2607
7.775,12.9478,-18.693,-11.9992
7.8,12.9081,-18.3693,-11.7412
7.825,12.8631,-18.0466,-11.4866
7.85,12.8129,-17.725,-11.2355
7.875,12.7575,-17.4047,-10.988
7.9,12.697,-17.0858,-10.744
7.925,12.6315,-16.7684,-10.5037
7.95,12.561,-16.4526,-10.2669
7.975,12.4857,-16.1385,-10.0339
8,12.4055,-15.8264,-9.80456
8.025,12.3207,-15.5163,-9.57893
8.05,12.2314,-15.2082,-9.35702
8.075,12.1375,-14.9025,-9.13884
8.1,12.0394,-14.599,-8.92443
8.125,11.937,-14.298,-8.71375
8.15,11.8304,-13.9996,-8.50682
8.175,11.7199,-13.7038,-8.30364
8.2,11.6056,-13.4108,-8.1042
8.225,11.4875,-13.1207,-7.90851
8.25,11.3659,-12.8335,-7.71652
8.275,11.2408,-12.5494,-7.52825
8.3,11.1125,-12.2684,-7.34367
8.325,10.981,-11.9905,-7.16276
8.35,10.8465,-11.716,-6.98551
8.375,10.7092,-11.4449,-6.81189
8.4,10.5692,-11.1771,-6.64184
8.425,10.4267,-10.9129,-6.47537
8.45,10.2818,-10.6522,-6.31245
8.475,10.1347,-10.3952,-6.15303
8.5,9.98555,-10.1418,-5.99708
8.525,9.83451,-9.89218,-5.84456
8.55,9.68173,-9.64632,-5.69543
8.575,9.52738,-9.40427,-5.54965
8.6,9.37162,-9.16609,-5.40719
8.625,9.21459,-8.9318,-5.26801
8.65,9.05645,-8.70143,-5.13203
8.675,8.89737,-8.47502,-4.99925
8.7,8.73749,-8.25259,-4.86959
8.725,8.57697,-8.03415,-4.74302
8.75,8.41595,-7.81973,-4.61949
8.775,8.25459,-7.60933,-4.49894
8.8,8.09302,-7.40296,-4.38133
8.825,7.9314,-7.20064,-4.26661
8.85,7.76986,-7.00235,-4.15472
8.875,7.60853,-6.80811,-4.04562
8.9,7.44756,-6.61789,-3.93925
8.925,7.28707,-6.4317,-3.83554
8.95,7.12719,-6.24953,-3.73447
8.975,6.96805,-6.07135,-3.63598
9,6.80976,-5.89715,-3.54
9.025,6.65245,-5.7269,-3.44648
9.05,6.49622,-5.56059,-3.35538
9.075,6.34118,-5.39818,-3.26663
9.1,6.18744,-5.23966,-3.1802
9.125,6.0351,-5.08497,-3.09601
9.15,5.88426,-4.93409,-3.01403
9.175,5.735,-4.78699,-2.9342
9.2,5.58742,-4.64361,-2.85646
9.225,5.4416,-4.50392,-2.78076
9.25,5.29762,-4.36788,-2.70707
9.275,5.15556,-4.23544,-2.63531
9.3,5.01548,-4.10656,-2.56544
9.325,4.87745,-3.98117,-2.49742
9.35,4.74154,-3.85923,-2.43118
9.375,4.60781,-3.74069,-2.36671
9.4,4.4763,-3.6255,-2.30392
9.425,4.34706,-3.51359,-2.24278
9.45,4.22015,-3.40491,-2.18325
9.475,4.0956,-3.29941,-2.12527
9.5,3.97345,-3.19702,-2.06881
9.525,3.85373,-3.09768,-2.0138
9.55,3.73648,-3.00134,-1.96024
9.575,3.62171,-2.90793,-1.90805
9.6,3.50945,-2.81739,-1.85721
9.625,3.39972,-2.72965,-1.80766
9.65,3.29253,-2.64466,-1.75936
9.675,3.18788,-2.56234,-1.7123
9.7,3.0858,-2.48265,-1.66642
9.725,2.98627,-2.4055,-1.62167
9.75,2.8893,-2.33084,-1.57804
9.775,2.7949,-2.25861,-1.53547
9.8,2.70304,-2.18874,-1.49394
9.825,2.61372,-2.12116,-1.45342
9.85,2.52694,-2.05582,-1.41387
9.875,2.44266,-1.99265,-1.37526
9.9,2.36089,-1.93158,-1.33755
9.925,2.28159,-1.87256,-1.30072
9.95,2.20474,-1.81552,-1.26475
9.975,2.13033,-1.7604,-1.22957
10,2.05832,-1.70714,-1.19521
10.025,1.98867,-1.65568,-1.1616
10.05,1.92138,-1.60597,-1.12872
10.075,1.85639,-1.55793,-1.09657
10.1,1.79367,-1.51152,-1.06509
10.125,1.73319,-1.46668,-1.03429
10.15,1.67491,-1.42335,-1.00412
10.175,1.61879,-1.38148,-0.974587
10.2,1.56479,-1.34101,-0.945643
10.225,1.51286,-1.30189,-0.917275
10.25,1.46297,-1.26407,-0.889476
10.275,1.41507,-1.22749,-0.862213
10.3,1.36911,-1.19212,-0.835471
10.325,1.32505,-1.15789,-0.809236
10.35,1.28285,-1.12476,-0.783496
10.375,1.24245,-1.09269,-0.758223
10.4,1.2038,-1.06163,-0.733405
10.425,1.16687,-1.03154,-0.709031
10.45,1.18081,-1.00236,-0.250254
10.475,1.2603,-0.972843,0.365972
10.5,1.40027,-0.941336,0.97473
10.525,-0.65405,-0.906329,-18.3035
10.55,-2.56526,-0.922681,-18.1627
10.575,-4.33662,-0.986812,-18.0211
10.6,-5.97147,-1.09523,-17.8783
10.625,-7.47332,-1.24451,-17.7335
10.65,-8.84576,-1.43135,-17.5863
10.675,-10.0925,-1.65249,-17.4362
10.7,-11.2172,-1.9048,-17.2828
10.725,-12.2238,-2.18523,-17.1254
10.75,-13.1161,-2.49083,-16.9638
10.775,-13.898,-2.81873,-16.7976
10.8,-14.5736,-3.16618,-16.6263
10.825,-15.1467,-3.53052,-16.4496
10.85,-15.6213,-3.90919,-16.2673
10.875,-16.0015,-4.29972,-16.0789
10.9,-16.2912,-4.69976,-15.8843
10.925,-16.4944,-5.10704,-15.6832
10.95,-16.615,-5.5194,-15.4754
10.975,-16.6569,-5.93477,-15.2607
11,-16.624,-6.35119,-15.0388
11.025,-16.5202,-6.76679,-14.8098
11.05,-16.3492,-7.1798,-14.5733
11.075,-16.1148,-7.58853,-14.3294
11.1,-15.8206,-7.9914,-14.0779
11.125,-15.4703,-8.38691,-13.8188
11.15,-15.0674,-8.77367,-13.5521
11.175,-14.6154,-9.15035,-13.2777
11.2,-14.1177,-9.51574,-12.9956
11.225,-13.5776,-9.86868,-12.7059
11.25,-12.9984,-10.2081,-12.4086
11.275,-12.3832,-10.5331,-12.1038
11.3,-11.7352,-10.8427,-11.7916
11.325,-11.0574,-11.136,-11.472
11.35,-10.3527,-11.4125,-11.1453
11.375,-9.62385,-11.6713,-10.8116
11.4,-8.87373,-11.9119,-10.471
11.425,-8.10495,-12.1337,-10.1238
11.45,-7.32012,-12.3364,-9.77011
11.475,-6.52172,-12.5194,-9.41023
11.5,-5.71216,-12.6824,-9.04437
11.525,-4.89378,-12.8252,-8.67281
11.55,-4.0688,-12.9475,-8.29584
11.575,-3.2394,-13.0493,-7.91375
11.6,-2.40764,-13.1303,-7.52684
11.625,-1.57551,-13.1904,-7.13544
11.65,-0.744912,-13.2298,-6.73991
11.675,0.0823154,-13.2485,-6.34058
11.7,0.904432,-13.2464,-5.93781
11.725,1.71977,-13.2238,-5.53197
11.75,2.52674,-13.1808,-5.12344
11.775,3.32383,-13.1176,-4.71261
11.8,4.10961,-13.0345,-4.29985
11.825,4.88271,-12.9318,-3.88558
11.85,5.64185,-12.8097,-3.4702
11.875,6.38581,-12.6687,-3.05408
11.9,7.11345,-12.509,-2.63764
11.925,7.8237,-12.3312,-2.22127
11.95,8.51556,-12.1356,-1.80537
11.975,9.18809,-11.9227,-1.39034
12,9.84043,-11.693,-0.976556
12.025,10.4718,-11.447,-0.564406
12.05,11.0814,-11.1852,-0.154257
12.075,11.6686,-10.9082,0.253512
12.1,12.2329,-10.6165,0.658549
12.125,12.7736,-10.3106,1.0605
12.15,13.2903,-9.99129,1.45904
12.175,13.7825,-9.65904,1.85384
12.2,14.2499,-9.31447,2.24458
12.225,14.6923,-8.95822,2.63096
12.25,15.1093,-8.59092,3.01269
12.275,15.5007,-8.21319,3.38951
12.3,15.8665,-7.82567,3.76115
12.325,16.2065,-7.42901,4.12737
12.35,16.5207,-7.02385,4.48793
12.375,16.8092,-6.61083,4.84262
12.4,17.0719,-6.1906,5.19125
12.425,17.3091,-5.7638,5.53362
12.45,17.5208,-5.33107,5.86956
12.475,17.7074,-4.89305,6.19892
12.5,17.8689,-4.45037,6.52155
12.525,18.0058,-4.00364,6.83732
12.55,18.1184,-3.5535,7.14613
12.575,18.207,-3.10054,7.44787
12.6,18.2719,-2.64537,7.74245
12.625,18.3138,-2.18857,8.0298
12.65,18.333,-1.73072,8.30985
12.675,18.33,-1.2724,8.58255
12.7,18.3053,-0.814148,8.84788
12.725,18.2596,-0.356515,9.10579
12.75,16.856,0.0999746,-2.4604
12.775,15.503,0.521374,-2.34833
12.8,14.2006,0.908948,-2.24247
12.825,12.9489,1.26396,-2.14239
12.85,11.7476,1.58768,-2.04768
12.875,10.5964,1.88137,-1.95794
12.9,9.4952,2.14628,-1.87277
12.925,8.44344,2.38366,-1.79179
12.95,7.44068,2.59475,-1.71464
12.975,6.48637,2.78077,-1.64097
13,5.57991,2.94293,-1.57044
13.025,4.72061,3.08242,-1.50273
13.05,3.90776,3.20044,-1.43752
13.075,3.14057,3.29813,-1.37451
13.1,2.4182,3.37665,-1.31343
13.125,1.73978,3.4371,-1.254
13.15,1.10439,3.4806,-1.19597
13.175,0.511072,3.50821,-1.13908
13.2,-0.0411647,3.52098,-1.08311
13.225,-0.553344,3.51996,-1.02785
13.25,-1.02652,3.50612,-0.973079
13.275,-1.46176,3.48046,-0.918617
13.3,-1.86016,3.44391,-0.864284
13.325,-2.22285,3.39741,-0.809905
13.35,-2.55094,3.34184,-0.755334
13.375,-2.84559,3.27807,-0.700423
13.4,-3.10795,3.20693,-0.645038
13.425,-3.33918,3.12923,-0.58906
13.45,-3.54043,3.04575,-0.532382
13.475,-3.71289,2.95724,-0.474902
13.5,-3.85772,2.86441,-0.416528
13.525,-3.97608,2.76797,-0.357187
13.55,-4.06914,2.66857,-0.296808
13.575,-4.13805,2.56684,-0.235331
13.6,-4.18397,2.46339,-0.172708
13.625,-4.20802,2.35879,-0.108886
13.65,-4.21133,2.25359,-0.0438422
13.675,-4.19503,2.14831,0.0224503
13.7,-4.16021,2.04343,0.0900138
13.725,-4.10795,1.93943,0.158853
13.75,-4.03931,1.83673,0.228978
13.775,-3.95536,1.73574,0.300386
13.8,-3.85711,1.63686,0.373059
13.825,-3.74557,1.54043,0.446994
13.85,-3.62173,1.44679,0.522159
13.875,-3.48656,1.35625,0.598526
13.9,-3.34099,1.26909,0.676078
13.925,-3.18594,1.18556,0.754761
13.95,-3.02231,1.10591,0.834547
13.975,-2.85096,1.03035,0.915379
14,-2.67274,0.959081,0.997222
14.025,-2.48845,0.892262,1.08001
14.05,-2.29889,0.830051,1.1637
14.075,-2.10483,0.772579,1.24821
14.1,-1.907,0.719958,1.3335
14.125,-1.7061,0.672283,1.41951
14.15,-1.50283,0.629631,1.50615
14.175,-1.29784,0.59206,1.59337
14.2,-1.09175,0.559614,1.68109
14.225,-0.885163,0.53232,1.76925
14.25,-0.678659,0.510191,1.85776
14.275,-0.472781,0.493225,1.94656
14.3,-0.268052,0.481405,2.03557
